RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLinenoOldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
50001,mp0000,9941,9291,,,unmatched,evo,"{'text': '怎么了，艾丝蒂尔。你要出远门吗？', 'filebase': 'mp0000', 'lineno': 9941, 'lineno_corr': 9291}",何だ、エステル。どっか出かけんのか？,
50002,mp0000,9945,9309,,,unmatched,evo,"{'text': '是啊。', 'filebase': 'mp0000', 'lineno': 9945, 'lineno_corr': 9309}",まあね。,
50003,mp0000,9950,9315,,,unmatched,evo,"{'text': '是啊。', 'filebase': 'mp0000', 'lineno': 9950, 'lineno_corr': 9315}",まあね。,
50004,mp0000,9957,9333,,,unmatched,evo,"{'text': '我要暂时离开洛连特一段时间。', 'filebase': 'mp0000', 'lineno': 9957, 'lineno_corr': 9333}",しばらくロレントを留守にするわよ。,
50005,mp0000,9962,9339,,,unmatched,evo,"{'text': '我要暂时离开洛连特一段时间。', 'filebase': 'mp0000', 'lineno': 9962, 'lineno_corr': 9339}",しばらくロレントを留守にするわよ。,
50006,mp0000,9969,9357,,,unmatched,evo,"{'text': '我不在的时候你可不要觉得寂寞哦。', 'filebase': 'mp0000', 'lineno': 9969, 'lineno_corr': 9357}",あたしがいないからって寂しがらないようにね。,
50007,mp0000,9974,9363,,,unmatched,evo,"{'text': '我不在的时候你可不要觉得寂寞哦。', 'filebase': 'mp0000', 'lineno': 9974, 'lineno_corr': 9363}",あたしがいないからって寂しがらないようにね。,
50008,mp0000,9979,9375,,,unmatched,evo,"{'text': '笨、笨蛋，才不会寂寞呢。', 'filebase': 'mp0000', 'lineno': 9979, 'lineno_corr': 9375}",バ、バッカやろ、誰が寂しがるかよ。,
50009,mp0000,9981,9387,,,unmatched,evo,"{'text': '……那，你打算什么时候回来？', 'filebase': 'mp0000', 'lineno': 9981, 'lineno_corr': 9387}",……で、いつ帰ってくるんだよ？,
50010,mp0000,9985,9405,,,unmatched,evo,"{'text': '我也不知道。', 'filebase': 'mp0000', 'lineno': 9985, 'lineno_corr': 9405}",それは、まだ分からないわ。,
50011,mp0000,9990,9411,,,unmatched,evo,"{'text': '我也不知道。', 'filebase': 'mp0000', 'lineno': 9990, 'lineno_corr': 9411}",それは、まだ分からないわ。,
50012,mp0000,9995,9423,,,unmatched,evo,"{'text': '是吗……', 'filebase': 'mp0000', 'lineno': 9995, 'lineno_corr': 9423}",そうか……,
50013,mp0000,10004,9453,,,unmatched,evo,"{'text': '………………', 'filebase': 'mp0000', 'lineno': 10004, 'lineno_corr': 9453}",………………,
50014,mp0000,10006,9465,,,unmatched,evo,"{'text': '……早点回来啊。', 'filebase': 'mp0000', 'lineno': 10006, 'lineno_corr': 9465}",……早く帰ってこいよな。,
50015,mp0000,10010,9483,,,unmatched,evo,"{'text': '嗯？你说什么？', 'filebase': 'mp0000', 'lineno': 10010, 'lineno_corr': 9483}",へ、何か言った？,
50016,mp0000,10015,9489,,,unmatched,evo,"{'text': '嗯？你说什么？', 'filebase': 'mp0000', 'lineno': 10015, 'lineno_corr': 9489}",へ、何か言った？,
50017,mp0000,10020,9501,,,unmatched,evo,"{'text': '没、没什么。', 'filebase': 'mp0000', 'lineno': 10020, 'lineno_corr': 9501}",な、何でもねぇよ。,
50018,mp0000,10032,9525,,,unmatched,evo,"{'text': '克劳斯伯伯家发生什么事了吗？', 'filebase': 'mp0000', 'lineno': 10032, 'lineno_corr': 9525}",クラウスおじさんの家で何かあったのか？,
50019,mp0000,10043,9555,,,unmatched,evo,"{'text': '听说记者来这里采访卡西乌斯叔叔呢！', 'filebase': 'mp0000', 'lineno': 10043, 'lineno_corr': 9555}",記者がカシウスおじさんを取材に来たらしいぜ！,
50020,mp0000,10045,9567,,,unmatched,evo,"{'text': '我的老爸是王国军的士兵……', 'filebase': 'mp0000', 'lineno': 10045, 'lineno_corr': 9567}",うちの父ちゃんは王国軍の兵士だけど……,
50021,mp0000,10047,9579,,,unmatched,evo,"{'text': '和游击士比起来，又刻板，又不起眼。', 'filebase': 'mp0000', 'lineno': 10047, 'lineno_corr': 9579}",ブレイサーに比べると堅苦しいし、地味だよなぁ。,
50022,mp0000,10055,9603,,,unmatched,evo,"{'text': '嗯，游击士果然比士兵帅气多了……', 'filebase': 'mp0000', 'lineno': 10055, 'lineno_corr': 9603}",うーん、やっぱ兵士よりブレイサーのほうがかっこいいよなぁ……,
50023,mp0000,10067,9627,,,unmatched,evo,"{'text': '唉，好想快点变成大人啊。', 'filebase': 'mp0000', 'lineno': 10067, 'lineno_corr': 9627}",あーあ、早く大人になりてーな。,
50024,mp0000,10069,9639,,,unmatched,evo,"{'text': '等我成为游击士，就可以大显身手了。', 'filebase': 'mp0000', 'lineno': 10069, 'lineno_corr': 9639}",ブレイサーになってどんどん活躍してやるのに。,
50025,mp0000,10071,9651,,,unmatched,evo,"{'text': '现在却被艾丝蒂尔抢先一步，太不甘心了。', 'filebase': 'mp0000', 'lineno': 10071, 'lineno_corr': 9651}",エステルなんかに先越されてたのが悔しくてしょうがないぜ。,
50026,mp0000,10082,9789,,,unmatched,evo,"{'text': '之前，我看到克劳斯伯伯在钟楼周围拼命除草。', 'filebase': 'mp0000', 'lineno': 10082, 'lineno_corr': 9789}",クラウスおじさん、この前、時計塔のまわりで一生懸命草むしりしてたぜ。,
50027,mp0000,10084,9801,,,unmatched,evo,"{'text': '市长连那种事都不得不做吗？', 'filebase': 'mp0000', 'lineno': 10084, 'lineno_corr': 9801}",市長ってあんな事もしなきゃいけないのか？,
50028,mp0000,10088,9711,,,unmatched,evo,"{'text': '那是他的爱好而已吧。都说他喜欢园艺。', 'filebase': 'mp0000', 'lineno': 10088, 'lineno_corr': 9711}",あれは趣味でしょ。園芸が好きだって噂だし。,
50029,mp0000,10093,9717,,,unmatched,evo,"{'text': '那是他的爱好而已吧。都说他喜欢园艺。', 'filebase': 'mp0000', 'lineno': 10093, 'lineno_corr': 9717}",あれは趣味でしょ。園芸が好きだって噂だし。,
50030,mp0000,10100,9735,,,unmatched,evo,"{'text': '所以大家都习惯叫他“克劳斯伯伯”啊。', 'filebase': 'mp0000', 'lineno': 10100, 'lineno_corr': 9735}",だから『クラウスおじさん』って呼ばれちゃうんだろうね。,
50031,mp0000,10105,9741,,,unmatched,evo,"{'text': '所以大家都习惯叫他“克劳斯伯伯”啊。', 'filebase': 'mp0000', 'lineno': 10105, 'lineno_corr': 9741}",だから『クラウスおじさん』って呼ばれちゃうんだろうね。,
50032,mp0000,10112,9759,,,unmatched,evo,"{'text': '这样叫多好，多亲切呀。', 'filebase': 'mp0000', 'lineno': 10112, 'lineno_corr': 9759}",ま、親しみがあっていいじゃない。,
50033,mp0000,10117,9765,,,unmatched,evo,"{'text': '这样叫多好，多亲切呀。', 'filebase': 'mp0000', 'lineno': 10117, 'lineno_corr': 9765}",ま、親しみがあっていいじゃない。,
50034,mp0000,10128,9789,,,unmatched,evo,"{'text': '之前，我看到克劳斯伯伯在钟楼周围拼命除草。', 'filebase': 'mp0000', 'lineno': 10128, 'lineno_corr': 9789}",クラウスおじさん、この前、時計塔のまわりで一生懸命草むしりしてたぜ。,
50035,mp0000,10130,9801,,,unmatched,evo,"{'text': '市长连那种事都不得不做吗？', 'filebase': 'mp0000', 'lineno': 10130, 'lineno_corr': 9801}",市長ってあんな事もしなきゃいけないのか？,
50036,mp0000,10142,9825,,,unmatched,evo,"{'text': '我是卡西乌斯·布莱特！', 'filebase': 'mp0000', 'lineno': 10142, 'lineno_corr': 9825}",俺はカシウス・ブライトだぁ！,
50037,mp0000,10144,9837,,,unmatched,evo,"{'text': '不许跑！魔兽！吃我一棒！', 'filebase': 'mp0000', 'lineno': 10144, 'lineno_corr': 9837}",逃げるな魔獣め、覚悟しやがれ！,
50038,mp0000,10156,9873,,,unmatched,evo,"{'text': '嘿嘿，想一起去……', 'filebase': 'mp0000', 'lineno': 10156, 'lineno_corr': 9873}",へへっ、一緒に行きたきゃ……,
