RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
95365,mp4042,2801,,13423,,45444,ch0540140126,exact,evo,如果需要改造导力器，随时都可以来找我。,ここが踏んばりどころじゃ。,ここが踏んばりどころじゃ。
95366,mp4042,2803,,13434,,,,conflict,evo,嗯，知道啦！,いつ大佐と戦ってもいいように万全の準備をして行くがいい。,
95367,mp4042,2862,,13436,,45442,ch0080140128,exact,evo,那么，我们这就出发吧。,どの魔獣もなかなか手ごたえのあるヤツばかりだな。,どの魔獣もなかなか手ごたえのあるヤツばかりだな。
95368,mp4042,2864,,2801,,45443,ch0080140129,exact,evo,一定要拿出干劲哦。,こりゃ腕が鳴るってもんだぜ。,こりゃ腕が鳴るってもんだぜ。
95369,mp4042,2923,,2803,,45440,ch0070140130,exact,evo,接下来，随时都有可能和上校狭路相逢，做好万全准备之后再前进吧。,あの魔獣たちも導力で動いているのかなぁ。,あの魔獣たちも導力で動いているのかなぁ。
95370,mp4042,2925,,2862,,45441,ch0070140131,exact,evo,这里的魔兽都很难对付。,もしそうだとしたら、やっぱり、ここの遺跡は……,もしそうだとしたら、やっぱり、ここの遺跡は……
95371,mp4042,2984,,2864,,45438,ch0050140132,exact,evo,我越来越有斗志了。,ずいぶん下まで降りてきたがまだまだ半分とはな。,ずいぶん下まで降りてきたがまだまだ半分とはな。
95372,mp4042,2986,,2923,,45439,ch0050140133,exact,evo,难道那些魔兽也是用导力驱动的吗？,まったく……最後まで手を焼かせてくれるぜ。,まったく……最後まで手を焼かせてくれるぜ。
95373,mp4042,3045,,2925,,45436,ch0060140134,exact,evo,如果真的是这样，那这个遗迹想必就是……,《輝く環》……こんな場所に封じられたのには何か理由があるはずです。,《輝く環》……こんな場所に封じられたのには何か理由があるはずです。
95374,mp4042,3047,,2984,,45437,ch0060140135,exact,evo,我们往下走了那么久，却刚刚走了一半。,リシャール大佐は何をどこまで知っているのでしょう……,リシャール大佐は何をどこまで知っているのでしょう……
95375,mp4042,3118,,2986,,45433,ch0040140136,blockwise,evo,真是的……直到最后都这么麻烦。,王城の地下に広がる太古の遺跡か。,王城の地下に広がる太古の遺跡か。
95376,mp4042,3120,,3045,,45434,ch0040140137,blockwise,evo,《辉之环》被封印在这种地方，肯定有什么原因。,ふむ、なかなか詩情をかき立てられるシチュエーションなのだが……,ふむ、なかなか詩情をかき立てられるシチュエーションなのだが……
95377,mp4042,3122,,3047,,45435,ch0040140138,blockwise,evo,理查德上校究竟知道多少内情呢……,待ち受けているのが軍人と機械の魔獣というのはいささか興ざめだね。,待ち受けているのが軍人と機械の魔獣というのはいささか興ざめだね。
95378,mp4042,3181,,3118,,45431,ch0030140139,exact,evo,位于王城地下的广阔上古遗迹啊……,エステル、あまり無理するんじゃないわよ。,エステル、あまり無理するんじゃないわよ。
95379,mp4042,3183,,3120,,45432,ch0030140140,exact,evo,唔，此情此景真是令我诗兴大发……,先はまだ長いんだし焦りは禁物よ。,先はまだ長いんだし焦りは禁物よ。
