RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
96839,system,42999,,3759,3420,,,conflict,evo,有空时去打扫一下好了。,ヨシュア――,
96840,system,43005,,2739,4105,,,conflict,evo,大型魔兽在此徘徊。,シェラ姉――,
96841,system,43011,,4179,4105,,,unmatched,evo,大型魔兽在此徘徊。,オリビエ――,
96842,system,43017,,42999,,,,conflict,evo,约书亚──,クローゼ――,
96843,system,43023,,43005,,,,conflict,evo,雪拉姐──,アガット――,
96844,system,43029,,43011,,,,conflict,evo,奥利维尔──,ティータ――,
96845,system,43035,,43017,,56435,ch0020121528,normalized,evo,克萝赛──,ジンさん――,ジンさん……
96846,system,43047,,43023,,,,unmatched,evo,阿加特──,合わせて――,
96847,system,43053,,43029,,,,unmatched,evo,缇妲──,お願い――,
96848,system,43135,,43035,,22176,ch0020050912,normalized,evo,阵先生──,エステル――,エステル……
96849,system,43141,,43047,,,,unmatched,evo,配合我──,シェラさん――,
96850,system,43147,,43053,,,,unmatched,evo,拜托了──,オリビエさん――,
96851,system,43153,,43135,,,,conflict,evo,艾丝蒂尔──,クローゼ――,
96852,system,43159,,43141,,,,conflict,evo,雪拉姐──,アガットさん――,
96853,system,43165,,43147,,,,conflict,evo,奥利维尔先生──,ティータ――,
96854,system,43171,,43153,,56435,ch0020121528,normalized,evo,克萝赛──,ジンさん――,ジンさん……
96855,system,43184,,43159,,,,unmatched,evo,阿加特先生──,続いて――,
96856,system,43190,,43165,,,,unmatched,evo,缇妲──,一気に決めよう！,
96857,system,43199,,43171,,,,unmatched,evo,阵先生──,お願いします――,
96858,system,43232,,43184,,,,unmatched,evo,继续上吧──,合わせて――,
96859,system,43251,,43190,,,,conflict,evo,一口气决胜负吧！,エステル――,
96860,system,43257,,43199,,,,conflict,evo,拜托你了──,ヨシュア――,
96861,system,43263,,43232,,,,unmatched,evo,配合我──,オリビエ――,
96862,system,43269,,43251,,,,unmatched,evo,艾丝蒂尔──,姫様――,
96863,system,43275,,43257,,,,conflict,evo,约书亚──,アガット――,
96864,system,43281,,43263,,,,conflict,evo,奥利维尔──,ティータちゃん――,
96865,system,43287,,43269,,56435,ch0020121528,normalized,evo,公主殿下──,ジンさん――,ジンさん……
96866,system,43301,,43275,,,,unmatched,evo,阿加特──,共に行こう――,
96867,system,43320,,43281,,24225,ch0490170349,normalized,evo,缇妲──,ヨシュア君――,ヨシュア君…………
96868,system,43326,,43287,,,,unmatched,evo,阵先生──,シェラ君――,
96869,system,43332,,43301,,,,unmatched,evo,一起上吧──,エステル君――,
96870,system,43338,,43320,,,,unmatched,evo,约书亚──,姫殿下――,
96871,system,43344,,43326,,,,unmatched,evo,雪拉──,アガット君――,
96872,system,43350,,43332,,,,conflict,evo,艾丝蒂尔──,ティータ君――,
96873,system,43356,,43338,,54584,ch0020140698,normalized,evo,公主殿下──,ジンさん――,ジンさん……
96874,system,43370,,43344,,,,unmatched,evo,阿加特──,行きましょう――,
96875,system,43389,,43350,,,,conflict,evo,缇妲──,ヨシュアさん――,
96876,system,43395,,43356,,,,unmatched,evo,阵先生──,シェラザードさん――,
96877,system,43401,,43370,,,,unmatched,evo,我们上吧──,オリビエさん――,
