RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
73424,mp2071_04,814,631,814,,,,unmatched,evo,哦，刚才辛苦你们了。,おお、さっきはご苦労。,
73425,mp2071_04,816,643,816,,,,unmatched,evo,幸好能在出事之前顺利解决。,大事になる前に片付いて良かったぞ。,
73426,mp2071_04,824,667,824,,,,unmatched,evo,话说回来，米克那小子可真让人头疼。,しかし、まったくミックの奴にも困ったもんだな。,
73427,mp2071_04,826,679,826,,,,unmatched,evo,呼，下次上体育课时，我要好好锻炼他。,ふん、今度の体育ではみっちりしごいてやるとするか。,
73428,mp2071_04,836,697,836,,,,unmatched,evo,刚才有个学生来找我借了旧校舍的钥匙，说是要去找大道具的材料。,さっき、ある生徒が大道具の材料を探すと言って旧校舎の鍵を借りに来たんだが……,
73429,mp2071_04,838,709,838,,,,unmatched,evo,已经过了好久了，怎么还没回来。,もうだいぶ経つのにまだ戻って来てないようだな。,
73430,mp2071_04,840,721,840,,,,unmatched,evo,还有很多住宿生没回房间，我要在关门之前先去巡视一圈。,部屋に帰ってない寮生も多い。門限の前に見回りに出てみるか。,
73431,mp2071_04,852,745,852,,,,unmatched,evo,学园的宿舍是由各老师负责管理的。,学園内にある寮は教師がそれぞれ宿直をしている。,
73432,mp2071_04,854,757,854,,,,unmatched,evo,咳咳！男生宿舍由我负责。,うぉっほん！男子寮のほうは俺ってワケだ。,
73433,mp2071_04,1173,950,1173,,,,unmatched,evo,呵呵，天快点黑吧……,ふふふ、早く夜にならないかなぁ……,
73434,mp2071_04,1175,902,1175,,,,unmatched,evo,我喜欢黑暗的地方，因为可以让心情平静下来。,僕は暗いところが落ち着けて大好きなんだよ。,
73435,mp2071_04,1177,914,1177,,,,unmatched,evo,洗澡的时候，我也喜欢把门紧紧关上，在漆黑的浴室里洗。,風呂も真っ暗にして密室状態で入るのが好きなんだ。,
73436,mp2071_04,1179,926,1179,,,,unmatched,evo,那样会让心情非常平静。如果有机会，你们也试试吧。,すごく落ち着くから機会があったら試してみてよ。,
73437,mp2071_04,1187,950,1187,,,,unmatched,evo,呵呵，天快点黑吧……,ふふふ、早く夜にならないかなぁ……,
73438,mp2071_04,1219,998,1219,,,,unmatched,evo,呵呵……天很快就要黑了。,ふふふ……もうすぐ夜が来るね。,
73439,mp2071_04,1221,1010,1221,,,,unmatched,evo,你们知道吗？,知ってるかい？,
73440,mp2071_04,1223,1022,1223,,,,unmatched,evo,北边有一座旧校舍。,ここから北へ行ったところに学園の旧校舎があるんだ。,
73441,mp2071_04,1225,1034,1225,,,,unmatched,evo,旧校舍是用以前的要塞改建的，据说在当年还是个战场。,旧校舎は昔の城塞を改築したもので戦場になったこともあるそうだよ。,
73442,mp2071_04,1227,1046,1227,,,,unmatched,evo,……你不觉得那里会有幽灵出没吗？,……いかにも出そうだと思わないかい、アレが。,
73443,mp2071_04,1231,1064,1231,,,,unmatched,evo,…………呜。,…………ぞ～っ。,
73444,mp2071_04,1236,1070,1236,,,,unmatched,evo,…………呜。,…………ぞ～っ。,
73445,mp2071_04,1247,1094,1247,,,,unmatched,evo,旧校舍是用以前的要塞改建的。,旧校舎は昔の城塞を改築して造られたんだ。,
73446,mp2071_04,1249,1106,1249,,,,unmatched,evo,你不觉得那里会有幽灵出没吗？,いかにも出そうだと思わないかい、アレが。,
73447,mp2071_04,1261,1130,1261,,,,unmatched,evo,学园祭快要到了……,もうすぐ学園祭だね……,
73448,mp2071_04,1263,1142,1263,,,,unmatched,evo,必须要开始准备社团的摊位了。,クラブで出店をやるから準備を始めないとなぁ。,
73449,mp2071_04,1424,1293,1424,,,,unmatched,evo,复习比预习更有效果，这是我的经验。,ボクの経験では予習より復習のほうが効果がある。,
73450,mp2071_04,1426,1305,1426,,,,unmatched,evo,复习三小时、预习两小时是我每天的必修课。,復習を３時間、予習２時間がボクの日課さ。,
73451,mp2071_04,1453,1347,1453,,,,unmatched,evo,好，本小姐也该就寝了㈱,さて、そろそろお休みになる時間ですわよ㈱,
73452,mp2071_04,1455,1359,1455,,,,unmatched,evo,真、真是的……总是习惯性地说出舞台剧的台词……,い、いかん……つい劇のセリフがクセに……,
73453,mp2071_04,1464,1383,1464,,,,unmatched,evo,我本想专心学习，结果却被拉去参加舞台剧的演出。,ボクは勉強に専念したいのに劇に出るハメになったんだ。,
73454,mp2071_04,1466,1395,1466,,,,unmatched,evo,唉，而且还是配角。怎么会这样……,はあ、しかも配役がなぁ。まさかあんなことになるなんて……,
73455,mp2071_04,1631,1550,1631,,,,unmatched,evo,我记得是朋友说他看完这本书忘记还了。,確かその本、読んでた友達が返し忘れてたって言ってたっけ。,
73456,mp2071_04,1633,1562,1633,,,,unmatched,evo,如果你们能顺便带去帮忙还掉就太好了。,そのまま持って行って返却してもらえると助かるよ。,
73457,mp2071_04,1636,1580,1636,,,,unmatched,evo,啊哈哈，那我就不客气了。,あはは、それじゃあ遠慮なく。,
