RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
65471,mp2000_ev,12779,,12779,12125,24342,ch0010040381,blockwise,evo,呼～终于来到有人住的地方了。,は～っ。やっと人里に着いたわね。,は〜っ。やっと人里に着いたわね。
65472,mp2000_ev,12792,,12792,12203,24343,ch0010040382,blockwise,evo,这里到处都是盛开的白花……,なんだか、白い花があちこちに咲いてるけど……,なんだか、白い花があちこちに咲いてるけど……
65473,mp2000_ev,12799,,12799,12245,24806,ch0010040383,blockwise,evo,这村子叫什么名字？,ここって何ていう村だっけ？,ここって何ていう村だっけ？
65474,mp2000_ev,12811,,12811,12317,24807,ch0020040384,blockwise,evo,玛诺利亚村。一个位于海道沿岸的小村落。,マノリアだよ。海道沿いにある宿場村さ。,マノリアだよ。海道沿いにある宿場村さ。
65475,mp2000_ev,12815,,12815,12341,24808,ch0020040385,blockwise,evo,这种白色的花应该是木兰花的一种。,あの白い花は、木蓮の一種だね。,あの白い花は、木蓮の一種だね。
65476,mp2000_ev,12824,,12824,12395,24347,ch0010040386,blockwise,evo,嗯～好漂亮～,ふーん、キレイよね～。,ふーん、キレイよね〜。
65477,mp2000_ev,12828,,12828,12419,24810,ch0010040387,blockwise,evo,而且可以隐隐闻到一股混杂着海风气息的淡淡香味。,それに潮の香りに混じってかすかに甘い匂いがするような。,それに潮の香りに混じってかすかに甘い匂いがするような。
65478,mp2000_ev,12832,,12832,12443,24811,ch0010040388,blockwise,evo,嗯……肚子突然有点饿了。,うーん……何だかお腹が空いてきちゃった。,うーん……何だかお腹が空いてきちゃった。
65479,mp2000_ev,12841,,12841,12497,24812,ch0020040389,blockwise,evo,哈哈，闻到花香，食欲就被刺激起来了，还真符合你的习性……,あはは、花の香りで食欲を刺激されるあたりがエステルらしいって言うか……,あはは、花の香りで食欲を刺激されるあたりがエステルらしいって言うか……
65480,mp2000_ev,12843,,12843,12509,24813,ch0020040390,blockwise,evo,正所谓“好看不如好吃”啊。,まさに花よりダンゴだね。,まさに花よりダンゴだね。
65481,mp2000_ev,12851,,12851,12557,24352,ch0010040391,blockwise,evo,因为正是长身体的时候嘛。,だって育ち盛りなんだもん。,だって育ち盛りなんだもん。
65482,mp2000_ev,12854,,12854,12575,24815,ch0010040392,blockwise,evo,已经到中午了。我们找个地方休息一下，吃个午餐吧？,ちょうどお昼だし休憩がてらランチにしない？,ちょうどお昼だし休憩がてらランチにしない？
65483,mp2000_ev,12856,,12856,12587,24816,ch0020040393,blockwise,evo,好啊……我们身上好像还有一些干粮。,いいけど……何か手持ちの食料はあったかな？,いいけど……何か手持ちの食料はあったかな？
65484,mp2000_ev,12858,,12858,12599,24355,ch0010040394,blockwise,evo,啊，等一下。,あ、ちょっとタンマ。,あ、ちょっとタンマ。
65485,mp2000_ev,12861,,12861,12617,24818,ch0010040395,blockwise,evo,难得来一次，不如找个地方坐下，尝尝刚出炉的料理吧？,どうせだったら落ち着ける場所でできたての料理を頼まない？,どうせだったら落ち着ける場所でできたての料理を頼まない？
65486,mp2000_ev,12863,,12863,12629,24819,ch0010040396,blockwise,evo,我们可是第一次来到卢安地区呢。,せっかくルーアン地方に来たんだし。,せっかくルーアン地方に来たんだし。
65487,mp2000_ev,12871,,12871,12677,24820,ch0020040397,blockwise,evo,嗯，也是。那我们去这里的旅馆看看吧。,たしかにそうだね。それじゃあ、宿酒場を探そうか。,たしかにそうだね。それじゃあ、宿酒場を探そうか。
65615,mp2000_ev,23404,,23404,21110,24488,ch0010040581,blockwise,evo,啊……,あうっ……,あうっ……
65616,mp2000_ev,23425,,23425,21236,24951,ch0010040582,blockwise,evo,今、今天怎么总是撞到人。,な、なんだか今日はやたらとぶつかる日ねぇ。,な、なんだか今日はやたらとぶつかる日ねぇ。
65619,mp2000_ev,23452,,23452,21398,24954,ch0010040585,blockwise,evo,那当然了。我们又不是这个村子的人。,そりゃそうよ。この村の人間じゃないもん。,そりゃそうよ。この町の人間じゃないもん。
65620,mp2000_ev,23454,,23454,21410,24955,ch0010040586,blockwise,evo,啊，你难道就是……,あれ、それよりキミって……,あれ、それよりキミって……
65622,mp2000_ev,23478,,23478,21554,24957,ch0010040588,blockwise,evo,刚才有个穿校服的女生说自己正在找一个戴帽子的男孩子……,さっき制服姿のお姉ちゃんが帽子をかぶった男の子を探しているって言ってたけど……,さっき制服姿のお姉ちゃんが帽子をかぶった男の子を探しているって言ってたけど……
