RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
88005,mp4000_extk,1009,272,186711,,,,unmatched,evo,这些年来，真的很感谢你。,ツァイスのほうではあれ以来テロ事件は起きていないみたいだね。,
88006,mp4000_extk,1011,284,186713,,,,unmatched,evo,从第一次见面时起……我就一直非常喜欢你。,もしかしたらテロリストは他の地方へ逃げたのかな。,
88007,mp4000_extk,1020,308,186731,,,,unmatched,evo,──再见了，艾丝蒂尔。,もうすぐ決勝戦が始まるね。,
88008,mp4000_extk,1022,320,1009,,,,unmatched,evo,从那以后，蔡斯那边就好像再没出现过恐怖袭击了。,俺は一応王国軍の兵士だしやっぱり特務部隊のほうを応援するよ。,
88009,mp4000_extk,1031,344,1011,,,,unmatched,evo,或许恐怖分子已经逃到别的地方去了吧。,今頃、グランセルの街はにぎわっているだろうね。,
88010,mp4000_extk,1033,356,1020,,,,unmatched,evo,决赛马上就要开始了吧。,早くテロの犯人が捕まるといいんだけど……,
88011,mp4000_extk,1042,380,1022,,,,unmatched,evo,我也是王国军的士兵，所以当然要去声援特务部队。,俺も１度武術大会に出てみたいよ。,
88012,mp4000_extk,1044,392,1031,,,,unmatched,evo,现在格兰赛尔的街上应该很热闹吧。,でも、軍の中で予選に勝たないと出場させてもらえないんだよなぁ。,
88013,mp4000_extk,1053,416,1033,,,,unmatched,evo,要是能早点抓住恐怖分子就好了……,やれやれ、警戒体制がずっと続いてるから疲れもたまるよ。,
88014,mp4000_extk,1055,428,1042,,,,unmatched,evo,我也想参加一次武术大会。,もう肩が凝っちゃって……,
88015,mp4000_extk,1064,452,1044,,,,unmatched,evo,但是不在军队的预赛中胜出的话，就没有出场的资格。,そっちの人はもしかして学者さんか何かかい？,
88016,mp4000_extk,1066,464,1053,,,,unmatched,evo,唉呀，一直保持警戒状态，都快累坏了。,このアーネンベルクも随分古い遺跡だから時々調査に来る人がいるんだ。,
88017,mp4000_extk,1077,494,1055,,,,unmatched,evo,肩膀已经酸痛得不行了……,この前見かけた変な形の飛行艇のことを隊長に報告したんだけど……,
88018,mp4000_extk,1079,554,1064,,,,unmatched,evo,那边的那个人是学者吗？,上層部の方からはなんにも音沙汰がないんだって。,
88019,mp4000_extk,1081,518,1066,,,,unmatched,evo,这个“亚宁堡”也是相当古老的遗迹，经常会有人来考察的。,ふう、お手柄かと思って期待した僕がバカだったよ。,
88020,mp4000_extk,1089,542,1077,,,,unmatched,evo,我上次看到了一艘外形很奇怪的飞艇，于是就向队长报告了……,見なれない飛行艇のことを隊長に報告したんだけど……,
88021,mp4000_extk,1091,554,1079,,,,unmatched,evo,但上级却什么反应都没有。,上層部の方からはなんにも音沙汰がないんだって。,
88022,mp4000_extk,1093,566,1081,,,,unmatched,evo,唉，我还以为立了功，真是个傻瓜。,やっぱりあれは、新型機の実験か何かだったのかもね。,
88023,mp4000_extk,1107,596,1089,,,,unmatched,evo,我上次看到了一艘以前从没见过的飞艇，于是就向队长报告了……,昨日の夕方、西の空を見たことない飛行艇が飛んでたんだ。,
88024,mp4000_extk,1109,608,1091,,,,unmatched,evo,但上级却什么反应都没有。,事件に関係あるかもと思って隊長に報告はしたんだけど……,
88025,mp4000_extk,1111,620,1093,,,,unmatched,evo,大概是在对新型飞艇进行试飞吧。,もう検問も解除されちゃったしこれ以上捜査はしないかもな。,
88026,mp4000_extk,1119,644,1107,,,,unmatched,evo,昨天晚上，在西边的天空，我看见了一艘陌生的飞艇。,その見たことない飛行艇は西の方に飛んで行ったんだ。,
88027,mp4000_extk,1121,656,1109,,,,unmatched,evo,我觉得应该和事件有关系，就向队长报告了……,西って言えばレイストン要塞のある方向だから……,
88028,mp4000_extk,1123,668,1111,,,,unmatched,evo,盘查都已经解除了，以后说不定就不再搜查了。,ひょっとして要塞で新型機のテストでもしてたのかな？,
