RemakeVoiceID,RemakeScenaScriptFilename,RemakeScenaScriptLineno,RemakeScenaScriptAddStructLineno,RemakeScenaScriptTranslationLineno,RemakeScenaScriptTranslationAddStructLineno,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceCategory,RemakeVoiceTranslation,RemakeVoiceText,OldVoiceText
96934,talk_common,949,,43936,,22062,ch0500050077,vector_search (0.86),evo,嗯！,おはよう、クルーセちゃん。,やあ、おはよう。早速来てくれたみたいだな。
96935,talk_common,954,,43943,,,,conflict,evo,好啊！,おはよう、クルーセちゃん。,
96936,talk_common,961,438,43949,,,,unmatched,evo,交给我！,おはよー。エステル、ヨシュア。,
96937,talk_common,966,444,949,414,,,unmatched,evo,早上好啊，克露莎。,おはよー。エステル、ヨシュア。,
96938,talk_common,973,462,954,420,,,unmatched,evo,早上好啊，克露莎。,ね、ね、２人とも遊撃士になるんでしょ？,
96939,talk_common,978,468,961,438,,,unmatched,evo,早上好。艾丝蒂尔、约书亚。,ね、ね、２人とも遊撃士になるんでしょ？,
96940,talk_common,989,486,966,444,,,unmatched,evo,早上好。艾丝蒂尔、约书亚。,あ……エステルとヨシュア！,
96941,talk_common,994,492,973,462,,,unmatched,evo,哎，哎，你们两个要成为游击士了对吧？,あ……エステルとヨシュア！,
96942,talk_common,1001,510,978,468,,,unmatched,evo,哎，哎，你们两个要成为游击士了对吧？,ね、ね、２人とも遊撃士になったんでしょ？,
96943,talk_common,1006,516,989,486,,,unmatched,evo,啊……艾丝蒂尔、约书亚！,ね、ね、２人とも遊撃士になったんでしょ？,
96944,talk_common,1016,534,994,492,,,unmatched,evo,啊……艾丝蒂尔、约书亚！,へぇ、どうして知ってるんだい？,
96945,talk_common,1021,540,1001,510,,,unmatched,evo,哎，哎，你们两个已经成为游击士了对吧？,へぇ、どうして知ってるんだい？,
96946,talk_common,1028,558,1006,516,,,unmatched,evo,哎，哎，你们两个已经成为游击士了对吧？,だってだって、クルーセ将来マスコミ志望だもーん。,
96947,talk_common,1033,564,1016,534,,,unmatched,evo,哎，你怎么知道？,だってだって、クルーセ将来マスコミ志望だもーん。,
96948,talk_common,1040,582,1021,540,,,unmatched,evo,哎，你怎么知道？,リベール通信社に入って女記者としてバリバリ活躍するの。,
96949,talk_common,1045,588,1028,558,,,unmatched,evo,因为我的目标是当记者嘛。,リベール通信社に入って女記者としてバリバリ活躍するの。,
96950,talk_common,1052,606,1033,564,,,unmatched,evo,因为我的目标是当记者嘛。,クルーセのじょうほうもーを甘く見ないでよね。,
96951,talk_common,1057,612,1040,582,,,unmatched,evo,我将来会加入利贝尔通信社，当一名出色的女记者。,クルーセのじょうほうもーを甘く見ないでよね。,
96952,talk_common,1064,,1045,588,35796,ch0010070693,normalized,evo,我将来会加入利贝尔通信社，当一名出色的女记者。,そ、そっか。,そ、そっか……
96953,talk_common,1069,,1052,606,35796,ch0010070693,normalized,evo,可不要小看我收集情报的能力哦。,そ、そっか。,そ、そっか……
96954,talk_common,1076,654,1057,612,,,unmatched,evo,可不要小看我收集情报的能力哦。,クルーセのカンによればきっと２人は話題の人になるわ。,
96955,talk_common,1081,660,1064,630,,,unmatched,evo,是、是吗。,クルーセのカンによればきっと２人は話題の人になるわ。,
96956,talk_common,1088,678,1069,636,,,unmatched,evo,是、是吗。,あ、あはは、ありがとう……,
96957,talk_common,1093,684,1076,654,,,unmatched,evo,凭我的直觉，你们两人肯定会成为风云人物的哦。,あ、あはは、ありがとう……,
96958,talk_common,1100,702,1081,660,,,unmatched,evo,凭我的直觉，你们两人肯定会成为风云人物的哦。,だって、愛し合う２人がお互いに正義を守る遊撃士なんて素敵じゃなーい。,
96959,talk_common,1105,708,1088,678,,,unmatched,evo,呵、呵呵，谢谢……,だって、愛し合う２人がお互いに正義を守る遊撃士なんて素敵じゃなーい。,
96960,talk_common,1112,726,1093,684,,,unmatched,evo,呵、呵呵，谢谢……,何かドラマが生まれる予感がするわ。,
96961,talk_common,1117,732,1100,702,,,unmatched,evo,因为，相爱的两个人一起守护正义成为游击士不是很美妙吗～,何かドラマが生まれる予感がするわ。,
96962,talk_common,1124,750,1105,708,,,unmatched,evo,因为，相爱的两个人一起守护正义成为游击士不是很美妙吗～,……へ？,
96963,talk_common,1129,756,1112,726,,,unmatched,evo,感觉就像一场浪漫的爱情剧。,……へ？,
96964,talk_common,1136,774,1117,732,,,unmatched,evo,感觉就像一场浪漫的爱情剧。,あたしとヨシュアは恋人じゃなくて家族だよ？,
96965,talk_common,1141,780,1124,750,,,unmatched,evo,……啊？,あたしとヨシュアは恋人じゃなくて家族だよ？,
96966,talk_common,1148,798,1129,756,,,unmatched,evo,……啊？,えー、エステル分かってなーい。,
96967,talk_common,1153,804,1136,774,,,unmatched,evo,我和约书亚不是恋人，我们是家人呢。,えー、エステル分かってなーい。,
96968,talk_common,1160,822,1141,780,,,unmatched,evo,我和约书亚不是恋人，我们是家人呢。,ヨシュアは養子だしこの先どう転ぶか分からないでしょ？,
96969,talk_common,1165,828,1148,798,,,unmatched,evo,呵～艾丝蒂尔这你就不懂啦。,ヨシュアは養子だしこの先どう転ぶか分からないでしょ？,
96970,talk_common,1172,846,1153,804,,,unmatched,evo,呵～艾丝蒂尔这你就不懂啦。,それにそうしておいたほうがきっと読者が喜ぶわ。,
96971,talk_common,1177,852,1160,822,,,unmatched,evo,约书亚只是你们家的养子嘛，以后什么身份还说不定呢。,それにそうしておいたほうがきっと読者が喜ぶわ。,
96972,talk_common,1184,870,1165,828,,,unmatched,evo,约书亚只是你们家的养子嘛，以后什么身份还说不定呢。,ど、読者って……,
